Feature,Importance
SiteKey,0.6218503194573617
RelativeHumidity,0.10993570604967133
Hour_cos,0.07838375210776267
DayOfYear_cos,0.04770364950347448
DayOfYear_sin,0.02497008022991398
Hour_sin,0.017901002615218556
AirTemperature,0.01419270749589388
WindSpeed,0.014176161692406666
ApparentTemperature,0.013710191755318988
DewPointTemperature,0.012862348788076705
WindDirection_cos,0.012778672783180421
WindDirection_sin,0.010442043449015968
DayOfWeek,0.00804205960232957
CampusKey,0.006311739839818595
Month,0.005861924092628414
IsWeekend,0.0008776405379279865
